id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	8	0	0	12	5	7	12	0	0
2	5	49	49	219	41	129	170	0	0
3	32	143	143	397	108	144	254	2	0
0	0	0	0	397	243	0	397	154	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	8	0	0	12	5	7	12	0	0
2	5	49	49	234	41	129	185	15	0
4	19	197	197	270	38	35	73	0	0
5	8	265	270	331	26	23	66	17	5
6	15	289	289	371	45	9	82	28	0
3	32	143	143	446	108	144	303	51	0
0	0	0	0	446	183	0	446	263	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	8	0	0	12	5	7	12	0	0
2	5	49	49	234	41	129	185	15	0
4	19	197	197	270	38	35	73	0	0
5	8	265	270	331	26	23	66	17	5
6	15	289	289	371	45	9	82	28	0
3	32	143	143	446	108	144	303	51	0
8	16	454	454	536	23	23	82	36	0
9	21	495	529	616	36	16	121	69	34
7	38	369	429	630	104	77	261	80	60
0	0	0	0	630	204	0	630	426	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	8	0	0	12	5	7	12	0	0
2	5	49	49	234	41	129	185	15	0
4	19	197	197	270	38	35	73	0	0
5	8	265	270	331	26	23	66	17	5
6	15	289	289	371	45	9	82	28	0
3	32	143	143	446	108	144	303	51	0
8	16	454	454	536	23	23	82	36	0
10	8	551	570	623	8	2	72	62	19
12	16	600	623	667	25	7	67	35	23
9	21	495	529	676	36	16	181	129	34
7	38	369	429	679	104	77	310	129	60
11	8	596	641	703	37	22	107	48	45
0	0	0	0	703	207	0	703	496	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	8	0	0	12	5	7	12	0	0
2	5	49	49	234	41	129	185	15	0
4	19	197	197	270	38	35	73	0	0
5	8	265	270	331	26	23	66	17	5
6	15	289	289	371	45	9	82	28	0
3	32	143	143	446	108	144	303	51	0
8	16	454	454	536	23	23	82	36	0
10	8	551	570	623	8	2	72	62	19
12	16	600	623	679	25	7	79	47	23
14	15	676	682	685	3	0	9	6	6
9	21	495	529	694	36	16	199	147	34
7	38	369	429	697	104	77	328	147	60
11	8	596	641	721	37	22	125	66	45
13	8	654	660	793	58	74	139	7	6
15	6	709	709	859	42	66	150	42	0
0	0	0	0	859	260	0	859	599	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	8	0	0	12	5	7	12	0	0
2	5	49	49	234	41	129	185	15	0
4	19	197	197	270	38	35	73	0	0
5	8	265	270	331	26	23	66	17	5
6	15	289	289	371	45	9	82	28	0
3	32	143	143	446	108	144	303	51	0
8	16	454	454	536	23	23	82	36	0
10	8	551	570	623	8	2	72	62	19
12	16	600	623	679	25	7	79	47	23
14	15	676	682	685	3	0	9	6	6
9	21	495	529	694	36	16	199	147	34
7	38	369	429	697	104	77	328	147	60
11	8	596	641	721	37	22	125	66	45
17	15	743	746	769	23	0	26	3	3
16	7	718	721	786	29	15	68	24	3
13	8	654	660	829	58	74	175	43	6
15	6	709	709	895	42	66	186	78	0
18	11	791	833	903	26	31	112	55	42
0	0	0	0	903	226	0	903	677	0
