id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	6	6	0	6	0	0
2	0	10	10	113	59	16	103	28	0
3	0	56	56	479	217	196	423	10	0
0	0	0	0	479	197	0	479	282	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	6	6	0	6	0	0
5	0	86	118	120	2	0	34	32	32
2	0	10	10	126	59	16	116	41	0
4	0	71	87	230	34	46	159	79	16
6	0	95	126	410	117	97	315	101	31
3	0	56	56	574	217	196	518	105	0
0	0	0	0	574	139	0	574	435	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	6	6	0	6	0	0
5	0	86	118	120	2	0	34	32	32
2	0	10	10	126	59	16	116	41	0
7	0	103	135	177	7	7	74	60	32
4	0	71	87	237	34	46	166	86	16
6	0	95	126	500	117	97	405	191	31
8	0	285	317	513	74	50	228	104	32
3	0	56	56	678	217	196	622	209	0
9	0	335	356	793	128	211	458	119	21
0	0	0	0	793	149	0	793	644	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	6	6	0	6	0	0
5	0	86	118	120	2	0	34	32	32
2	0	10	10	126	59	16	116	41	0
7	0	103	135	177	7	7	74	60	32
4	0	71	87	237	34	46	166	86	16
10	0	368	386	396	10	0	28	18	18
6	0	95	126	493	117	97	398	184	31
8	0	285	317	524	74	50	239	115	32
12	0	531	546	634	25	16	103	62	15
3	0	56	56	759	217	196	703	290	0
11	0	526	526	812	93	79	286	114	0
9	0	335	356	860	128	211	525	186	21
0	0	0	0	860	88	0	860	772	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	6	6	0	6	0	0
5	0	86	118	120	2	0	34	32	32
2	0	10	10	126	59	16	116	41	0
7	0	103	135	177	7	7	74	60	32
4	0	71	87	237	34	46	166	86	16
10	0	368	386	396	10	0	28	18	18
6	0	95	126	493	117	97	398	184	31
8	0	285	317	524	74	50	239	115	32
12	0	531	546	697	25	16	166	125	15
14	0	562	588	795	46	10	233	177	26
13	0	553	577	797	37	46	244	161	24
15	0	567	630	864	49	78	297	170	63
3	0	56	56	882	217	196	826	413	0
11	0	526	526	921	93	79	395	223	0
9	0	335	356	969	128	211	634	295	21
0	0	0	0	969	65	0	969	904	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	6	6	0	6	0	0
5	0	86	118	120	2	0	34	32	32
2	0	10	10	126	59	16	116	41	0
7	0	103	135	177	7	7	74	60	32
4	0	71	87	237	34	46	166	86	16
10	0	368	386	396	10	0	28	18	18
6	0	95	126	493	117	97	398	184	31
8	0	285	317	524	74	50	239	115	32
12	0	531	546	697	25	16	166	125	15
16	0	693	739	751	12	0	58	46	46
14	0	562	588	818	46	10	256	200	26
13	0	553	577	820	37	46	267	184	24
15	0	567	630	927	49	78	360	233	63
3	0	56	56	944	217	196	888	475	0
18	0	702	775	988	44	50	286	192	73
11	0	526	526	1007	93	79	481	309	0
9	0	335	356	1069	128	211	734	395	21
17	0	694	751	1152	118	139	458	201	57
0	0	0	0	1152	74	0	1152	1078	0
