id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	23	45	142	71	16	119	32	22
1	0	0	0	167	82	42	167	43	0
3	0	111	142	169	14	7	58	37	31
0	0	0	0	169	2	0	169	167	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	23	45	142	71	16	119	32	22
1	0	0	0	167	82	42	167	43	0
3	0	111	142	169	14	7	58	37	31
5	0	182	185	210	5	20	28	3	3
6	0	219	219	305	2	84	86	0	0
4	0	169	169	332	75	88	163	0	0
0	0	0	0	332	83	0	332	249	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	23	45	142	71	16	119	32	22
1	0	0	0	167	82	42	167	43	0
3	0	111	142	169	14	7	58	37	31
5	0	182	185	210	5	20	28	3	3
6	0	219	219	366	2	84	147	61	0
9	0	295	341	408	31	15	113	67	46
8	0	231	238	414	48	52	183	83	7
4	0	169	169	468	75	88	299	136	0
7	0	220	220	582	154	140	362	68	0
0	0	0	0	582	100	0	582	482	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	23	45	142	71	16	119	32	22
1	0	0	0	167	82	42	167	43	0
3	0	111	142	169	14	7	58	37	31
5	0	182	185	210	5	20	28	3	3
6	0	219	219	366	2	84	147	61	0
9	0	295	341	440	31	15	145	99	46
8	0	231	238	445	48	52	214	114	7
4	0	169	169	576	75	88	407	244	0
11	0	453	489	595	19	26	142	97	36
12	0	502	554	622	36	9	120	75	52
10	0	325	397	639	113	31	314	170	72
7	0	220	220	706	154	140	486	192	0
0	0	0	0	706	56	0	706	650	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	23	45	142	71	16	119	32	22
1	0	0	0	167	82	42	167	43	0
3	0	111	142	169	14	7	58	37	31
5	0	182	185	210	5	20	28	3	3
6	0	219	219	366	2	84	147	61	0
9	0	295	341	440	31	15	145	99	46
8	0	231	238	445	48	52	214	114	7
4	0	169	169	576	75	88	407	244	0
11	0	453	489	595	19	26	142	97	36
12	0	502	554	628	36	9	126	81	52
10	0	325	397	658	113	31	333	189	72
7	0	220	220	738	154	140	518	224	0
14	0	608	658	798	77	6	190	107	50
13	0	542	595	879	60	81	337	196	53
15	0	637	681	934	72	96	297	129	44
0	0	0	0	934	75	0	934	859	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	23	45	142	71	16	119	32	22
1	0	0	0	167	82	42	167	43	0
3	0	111	142	169	14	7	58	37	31
5	0	182	185	210	5	20	28	3	3
6	0	219	219	366	2	84	147	61	0
9	0	295	341	440	31	15	145	99	46
8	0	231	238	445	48	52	214	114	7
4	0	169	169	576	75	88	407	244	0
11	0	453	489	595	19	26	142	97	36
12	0	502	554	628	36	9	126	81	52
10	0	325	397	658	113	31	333	189	72
7	0	220	220	738	154	140	518	224	0
16	0	719	793	812	19	0	93	74	74
14	0	608	658	817	77	6	209	126	50
13	0	542	595	886	60	81	344	203	53
15	0	637	681	941	72	96	304	136	44
17	0	994	994	1004	10	0	10	0	0
18	0	1027	1027	1262	171	64	235	0	0
0	0	0	0	1262	203	0	1262	1059	0
